# Diode Laser Delay Scan w/ MW and PM
# MW at 19 dB, Phase Modulation at 32.5 dB (~1.4)
# Center at -10 GHz
# Hittite at 18.6 dBm and 18510.1 MHz
i	d	n	nb	s	sb
318.000	132291.000	1.000	0.000	0.039	-0.004
319.000	131219.000	1.000	0.000	0.028	-0.004
320.000	130148.000	1.000	0.000	0.038	-0.004
321.000	129076.000	1.000	0.000	0.051	-0.004
322.000	128004.000	1.000	0.000	0.046	-0.004
323.000	126932.000	1.000	0.000	0.040	-0.004
324.000	125860.000	1.000	0.000	0.052	-0.004
325.000	124788.000	1.000	0.000	0.032	-0.004
326.000	123716.000	1.000	0.000	0.027	-0.004
327.000	122644.000	1.000	0.000	0.036	-0.004
328.000	121572.000	1.000	0.000	0.059	-0.004
329.000	120500.000	1.000	0.000	0.052	-0.004
330.000	119428.000	1.000	0.000	0.041	-0.004
331.000	118356.000	1.000	0.000	0.049	-0.004
332.000	117285.000	1.000	0.000	0.035	-0.004
333.000	116213.000	1.000	0.000	0.028	-0.004
334.000	115141.000	1.000	0.000	0.039	-0.004
335.000	114069.000	1.000	0.000	0.044	-0.004
336.000	112997.000	1.000	0.000	0.039	-0.004
337.000	111925.000	1.000	0.000	0.050	-0.004
338.000	110853.000	1.000	0.000	0.047	-0.004
339.000	109781.000	1.000	0.000	0.039	-0.004
340.000	108709.000	1.000	0.000	0.034	-0.004
341.000	107637.000	1.000	0.000	0.044	-0.004
342.000	106565.000	1.000	0.000	0.036	-0.004
343.000	105494.000	1.000	0.000	0.049	-0.004
344.000	104422.000	1.000	0.000	0.050	-0.004
345.000	103350.000	1.000	0.000	0.051	-0.004
346.000	102278.000	1.000	0.000	0.054	-0.004
347.000	101206.000	1.000	0.000	0.026	-0.004
348.000	100134.000	1.000	0.000	0.029	-0.004
349.000	99062.000	1.000	0.000	0.040	-0.004
350.000	97990.000	1.000	0.000	0.032	-0.004
351.000	96918.000	1.000	0.000	0.049	-0.004
352.000	95846.000	1.000	0.000	0.054	-0.004
353.000	94774.000	1.000	0.000	0.047	-0.004
354.000	93703.000	1.000	0.000	0.036	-0.004
355.000	92631.000	1.000	0.000	0.032	-0.004
356.000	91559.000	1.000	0.000	0.039	-0.004
357.000	90487.000	1.000	0.000	0.039	-0.004
358.000	89415.000	1.000	0.000	0.043	-0.004
359.000	88343.000	1.000	0.000	0.055	-0.004
360.000	87271.000	1.000	0.000	0.048	-0.004
361.000	86199.000	1.000	0.000	0.056	-0.004
362.000	85127.000	1.000	0.000	0.040	-0.004
363.000	84055.000	1.000	0.000	0.040	-0.004
364.000	82983.000	1.000	0.000	0.046	-0.004
365.000	81911.000	1.000	0.000	0.029	-0.004
366.000	80840.000	1.000	0.000	0.041	-0.004
367.000	79768.000	1.000	0.000	0.047	-0.004
368.000	78696.000	1.000	0.000	0.051	-0.004
369.000	77624.000	1.000	0.000	0.041	-0.004
370.000	76552.000	1.000	0.000	0.036	-0.004
371.000	75480.000	1.000	0.000	0.027	-0.004
372.000	74408.000	1.000	0.000	0.035	-0.004
373.000	73336.000	1.000	0.000	0.042	-0.004
374.000	72264.000	1.000	0.000	0.045	-0.004
375.000	71192.000	1.000	0.000	0.053	-0.004
376.000	70120.000	1.000	0.000	0.059	-0.004
377.000	69049.000	1.000	0.000	0.030	-0.004
378.000	67977.000	1.000	0.000	0.027	-0.004
379.000	66905.000	1.000	0.000	0.030	-0.004
380.000	65833.000	1.000	0.000	0.038	-0.004
381.000	64761.000	1.000	0.000	0.047	-0.004
382.000	63689.000	1.000	0.000	0.062	-0.004
383.000	62617.000	1.000	0.000	0.068	-0.004
384.000	61545.000	1.000	0.000	0.036	-0.004
385.000	60473.000	1.000	0.000	0.038	-0.004
386.000	59401.000	1.000	0.000	0.042	-0.004
387.000	58329.000	1.000	0.000	0.029	-0.004
388.000	57257.000	1.000	0.000	0.052	-0.004
389.000	56186.000	1.000	0.000	0.054	-0.004
390.000	55114.000	1.000	0.000	0.049	-0.004
391.000	54042.000	1.000	0.000	0.050	-0.004
392.000	52970.000	1.000	0.000	0.035	-0.004
393.000	51898.000	1.000	0.000	0.035	-0.004
394.000	50826.000	1.000	0.000	0.043	-0.004
395.000	49754.000	1.000	0.000	0.042	-0.004
396.000	48682.000	1.000	0.000	0.051	-0.004
397.000	47610.000	1.000	0.000	0.049	-0.004
