# Filename	C:\Users\labuser\Documents\Data\2018-09-25\2_fscan.txt
# Date	2018-9-25-19:43
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using n=34 + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -15 dB.
# Frequency (Hz)	Voltage (V)
19684500000.000	-0.000
19685500000.000	0.002
19686500000.000	0.003
19687500000.000	0.000
19688500000.000	0.000
19689500000.000	-0.000
19690500000.000	-0.000
19691500000.000	0.003
19692500000.000	0.002
19693500000.000	0.001
19694500000.000	0.000
19695500000.000	0.002
19696500000.000	0.003
19697500000.000	0.004
19698500000.000	0.005
19699500000.000	0.004
19590600000.000	0.001
19591600000.000	0.002
19592600000.000	0.005
19593600000.000	-0.001
19594600000.000	-0.003
19595600000.000	-0.006
19596600000.000	-0.008
19597600000.000	-0.008
19598600000.000	-0.008
19599600000.000	-0.003
19600600000.000	-0.006
19601600000.000	-0.007
19602600000.000	-0.006
19603600000.000	-0.007
19604600000.000	-0.005
19605600000.000	0.000
19606600000.000	-0.005
19607600000.000	-0.009
19608600000.000	-0.009
19609600000.000	-0.006
19610600000.000	-0.007
19611600000.000	-0.003
19612600000.000	-0.004
19613600000.000	-0.005
19614600000.000	-0.003
19615600000.000	-0.009
19616600000.000	-0.006
19617600000.000	-0.009
19618600000.000	-0.015
19619600000.000	-0.014
19620600000.000	-0.014
19621600000.000	-0.019
19622600000.000	-0.027
19623600000.000	-0.033
19624600000.000	-0.038
19625600000.000	-0.047
19626600000.000	-0.055
19627600000.000	-0.054
19628600000.000	-0.061
19629600000.000	-0.073
19630600000.000	-0.080
19631600000.000	-0.090
19632600000.000	-0.099
19633600000.000	-0.102
19634600000.000	-0.107
19635600000.000	-0.106
19636600000.000	-0.115
19637600000.000	-0.113
19638600000.000	-0.110
19639600000.000	-0.091
19640600000.000	-0.100
19641600000.000	-0.098
19642600000.000	-0.085
19643600000.000	-0.078
19644600000.000	-0.073
19645600000.000	-0.058
19646600000.000	-0.054
19647600000.000	-0.042
19648600000.000	-0.042
19649600000.000	-0.033
19650600000.000	-0.035
19651600000.000	-0.036
19652600000.000	-0.031
19653600000.000	-0.027
19654600000.000	-0.022
19655600000.000	-0.025
19656600000.000	-0.019
19657600000.000	-0.018
19658600000.000	-0.019
19659600000.000	-0.020
19660600000.000	-0.017
19661600000.000	-0.012
19662600000.000	-0.013
19663600000.000	-0.011
19664600000.000	-0.009
19665600000.000	-0.011
19666600000.000	-0.004
19667600000.000	-0.007
19668600000.000	-0.005
19669600000.000	-0.009
19670600000.000	-0.003
19671600000.000	-0.004
19672600000.000	-0.005
19673600000.000	-0.005
19674600000.000	-0.005
19675600000.000	-0.004
19676600000.000	-0.004
19677600000.000	-0.005
19678600000.000	-0.004
19679600000.000	0.003
19680600000.000	0.000
19681600000.000	-0.004
19682600000.000	-0.003
19683600000.000	-0.000
19684600000.000	-0.002
19685600000.000	-0.001
19686600000.000	0.007
19687600000.000	0.003
19688600000.000	0.003
19689600000.000	0.004
19690600000.000	0.004
19691600000.000	-0.000
19692600000.000	-0.002
19693600000.000	-0.003
19694600000.000	-0.003
19695600000.000	-0.002
19696600000.000	-0.002
19697600000.000	-0.001
19698600000.000	-0.002
19699600000.000	-0.004
19590700000.000	-0.004
19591700000.000	-0.004
19592700000.000	-0.002
19593700000.000	-0.003
19594700000.000	-0.007
19595700000.000	-0.010
19596700000.000	-0.010
19597700000.000	-0.009
19598700000.000	-0.009
19599700000.000	-0.009
19600700000.000	-0.010
19601700000.000	-0.006
19602700000.000	-0.005
19603700000.000	-0.005
19604700000.000	-0.006
19605700000.000	-0.004
19606700000.000	-0.006
19607700000.000	-0.010
19608700000.000	-0.008
19609700000.000	-0.010
19610700000.000	-0.007
19611700000.000	-0.005
19612700000.000	-0.008
19613700000.000	-0.008
19614700000.000	-0.009
19615700000.000	-0.002
19616700000.000	-0.005
19617700000.000	-0.007
19618700000.000	-0.010
19619700000.000	-0.014
19620700000.000	-0.016
19621700000.000	-0.023
19622700000.000	-0.023
19623700000.000	-0.034
19624700000.000	-0.034
19625700000.000	-0.046
19626700000.000	-0.045
19627700000.000	-0.050
19628700000.000	-0.058
19629700000.000	-0.075
19630700000.000	-0.070
19631700000.000	-0.088
19632700000.000	-0.095
19633700000.000	-0.095
19634700000.000	-0.104
19635700000.000	-0.105
19636700000.000	-0.111
19637700000.000	-0.103
19638700000.000	-0.110
19639700000.000	-0.099
19640700000.000	-0.104
19641700000.000	-0.091
19642700000.000	-0.080
19643700000.000	-0.066
19644700000.000	-0.067
19645700000.000	-0.059
19646700000.000	-0.055
19647700000.000	-0.051
19648700000.000	-0.046
19649700000.000	-0.044
19650700000.000	-0.037
19651700000.000	-0.038
19652700000.000	-0.035
19653700000.000	-0.019
19654700000.000	-0.021
19655700000.000	-0.020
19656700000.000	-0.021
19657700000.000	-0.018
19658700000.000	-0.015
19659700000.000	-0.010
19660700000.000	-0.009
19661700000.000	-0.007
19662700000.000	-0.008
19663700000.000	-0.008
19664700000.000	-0.011
19665700000.000	-0.006
19666700000.000	-0.004
19667700000.000	-0.004
