# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 33 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	33 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
304	-149.52	5.97627E-6	0.142987	0.131346	
305	-150.22	5.97627E-6	0.132102	0.1469	
306	-150.92	5.97627E-6	0.132332	0.137988	
307	-151.92	5.97627E-6	0.130392	0.126578	
308	-152.52	5.97627E-6	0.133187	0.128025	
309	-153.12	5.97627E-6	0.116384	0.125032	
310	-153.92	5.97627E-6	0.123454	0.132793	
311	-154.52	5.97627E-6	0.130458	0.130491	
312	-155.12	5.97627E-6	0.120494	0.134009	
313	-155.72	5.97627E-6	0.11543	0.125032	
314	-156.22	5.97627E-6	0.13835	0.131149	
315	-156.92	5.97627E-6	0.134075	0.134108	
316	-157.62	5.97627E-6	0.131181	0.127531	
317	-158.42	5.97627E-6	0.13641	0.116877	
318	-158.92	5.97627E-6	0.135884	0.143875	
319	-159.72	5.97627E-6	0.145585	0.140389	
320	-160.12	5.97627E-6	0.133122	0.136246	
321	-160.82	5.97627E-6	0.124046	0.124868	
322	-161.62	5.97627E-6	0.117239	0.124111	
323	-162.32	5.97627E-6	0.139797	0.126413	
324	-163.02	5.97627E-6	0.121612	0.130129	
325	-163.62	5.97627E-6	0.133648	0.121481	
326	-164.52	5.97627E-6	0.132431	0.137988	
327	-165.02	5.97627E-6	0.129965	0.13858	
328	-165.82	5.97627E-6	0.13322	0.128682	
329	-166.42	5.97627E-6	0.121777	0.135687	
330	-167.02	5.97627E-6	0.128485	0.135884	
331	-167.92	5.97627E-6	0.134503	0.132135	
332	-168.52	5.97627E-6	0.128649	0.128518	
333	-169.12	5.97627E-6	0.134009	0.136969	
334	-170.02	5.97627E-6	0.137988	0.13345	
335	-170.42	5.97627E-6	0.133483	0.123421	
336	-171.32	5.97627E-6	0.123224	0.141737	
337	-171.92	5.97627E-6	0.141606	0.132102	
338	-172.52	5.97627E-6	0.140488	0.126512	
339	-173.32	5.97627E-6	0.13128	0.13299	
340	-173.82	5.97627E-6	0.137791	0.121349	
341	-174.52	5.97627E-6	0.130557	0.129143	
342	-175.12	5.97627E-6	0.124999	0.120856	
343	-175.62	5.97627E-6	0.130754	0.126578	
344	-180.12	5.97627E-6	0.142559	0.140652	
345	-180.22	5.97627E-6	0.132497	0.13322	
346	-180.62	5.97627E-6	0.13128	0.133878	
347	-181.12	5.97627E-6	0.124999	0.134503	
348	-181.82	5.97627E-6	0.126315	0.119639	
349	-182.22	5.97627E-6	0.130918	0.147525	
350	-183.12	5.97627E-6	0.135292	0.13345	
351	-183.52	5.97627E-6	0.142757	0.142954	
352	-184.02	5.97627E-6	0.142132	0.14131	
353	-185.22	5.97627E-6	0.126446	0.1518	
354	-185.42	5.97627E-6	0.140849	0.14371	
355	-186.02	5.97627E-6	0.140981	0.137068	
356	-186.62	5.97627E-6	0.133714	0.13345	
357	-187.22	5.97627E-6	0.136344	0.145749	
358	-188.02	5.97627E-6	0.131806	0.151372	
359	-188.92	5.97627E-6	0.133779	0.133977	
360	-189.62	5.97627E-6	0.146966	0.133878	
361	-190.22	5.97627E-6	0.147097	0.128189	
362	-190.92	5.97627E-6	0.13493	0.130063	
363	-191.62	5.97627E-6	0.134832	0.12786	
364	-192.22	5.97627E-6	0.128748	0.138153	
365	-192.82	5.97627E-6	0.140619	0.139896	
366	-193.42	5.97627E-6	0.147327	0.143085	
367	-194.12	5.97627E-6	0.144598	0.148709	
368	-195.02	5.97627E-6	0.135456	0.130326	
369	-195.62	5.97627E-6	0.133779	0.143414	
370	-196.22	5.97627E-6	0.142954	0.136048	
371	-197.02	5.97627E-6	0.13493	0.134568	
372	-197.72	5.97627E-6	0.129208	0.131609	
373	-198.42	5.97627E-6	0.124835	0.139304	
374	-198.82	5.97627E-6	0.124572	0.128321	
375	-199.72	5.97627E-6	0.124802	0.125788	
376	-200.62	5.97627E-6	0.133714	0.131313	
377	-201.12	5.97627E-6	0.126972	0.144006	
378	-201.92	5.97627E-6	0.153806	0.131313	
379	-202.72	5.97627E-6	0.15545	0.117765	
380	-203.22	5.97627E-6	0.126972	0.130195	
381	-204.12	5.97627E-6	0.130984	0.121053	
382	-204.42	5.97627E-6	0.141902	0.123585	
383	-205.52	5.97627E-6	0.137956	0.118817	
384	-206.12	5.97627E-6	0.131675	0.139074	
385	-206.52	5.97627E-6	0.139567	0.126413	
386	-207.02	5.97627E-6	0.120297	0.129077	
387	-207.62	5.97627E-6	0.12934	0.1323	
388	-208.12	5.97627E-6	0.135358	0.117041	
389	-208.72	5.97627E-6	0.131708	0.117831	
390	-209.72	5.97627E-6	0.13276	0.136443	
391	-210.12	5.97627E-6	0.136081	0.119837	
392	-210.42	5.97627E-6	0.123947	0.1323	
393	-211.12	5.97627E-6	0.142296	0.114871	
394	-211.82	5.97627E-6	0.12957	0.127334	
395	-212.62	5.97627E-6	0.125493	0.126907	
396	-213.22	5.97627E-6	0.122073	0.135555	
397	-213.82	5.97627E-6	0.13595	0.129077	
398	-214.42	5.97627E-6	0.131346	0.143381	
399	-215.42	5.97627E-6	0.136015	0.128222	
400	-216.12	5.97627E-6	0.138679	0.126939	
401	-216.72	5.97627E-6	0.135983	0.131839	
402	-217.32	5.97627E-6	0.119245	0.123322	
403	-218.12	5.97627E-6	0.127893	0.127794	
404	-218.92	5.97627E-6	0.142691	0.117666	
405	-219.52	5.97627E-6	0.126019	0.12763	
406	-220.02	5.97627E-6	0.130622	0.132661	
407	-220.72	5.97627E-6	0.117206	0.138613	
408	-221.72	5.97627E-6	0.131379	0.1274	
409	-222.72	5.97627E-6	0.123947	0.129077	
410	-223.02	5.97627E-6	0.118653	0.121744	
