# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365897 GHz, +1st Resonance.
# PM at 2.0 (32 dB)
# 0 mV static
i	d	s	sb	n	nb
4502.000	78887.000	0.113	-0.022	-0.311	0.157
4501.000	78897.000	0.096	-0.022	-0.311	0.157
4500.000	78907.000	0.104	-0.022	-0.311	0.157
4499.000	78917.000	0.105	-0.022	-0.311	0.157
4498.000	78927.000	0.138	-0.022	-0.311	0.157
4497.000	78937.000	0.116	-0.022	-0.311	0.157
4496.000	78947.000	0.098	-0.022	-0.311	0.157
4495.000	78957.000	0.095	-0.022	-0.311	0.157
4494.000	78967.000	0.089	-0.022	-0.311	0.157
4493.000	78977.000	0.117	-0.022	-0.311	0.157
4492.000	78987.000	0.104	-0.022	-0.311	0.157
4491.000	78997.000	0.096	-0.022	-0.311	0.157
4490.000	79007.000	0.101	-0.022	-0.311	0.157
4489.000	79017.000	0.112	-0.022	-0.311	0.157
4488.000	79027.000	0.119	-0.022	-0.311	0.157
4487.000	79037.000	0.098	-0.022	-0.311	0.157
4486.000	79047.000	0.106	-0.022	-0.311	0.157
4485.000	79057.000	0.104	-0.022	-0.311	0.157
4484.000	79067.000	0.102	-0.022	-0.311	0.157
4483.000	79077.000	0.108	-0.022	-0.311	0.157
4482.000	79087.000	0.090	-0.022	-0.311	0.157
4481.000	79097.000	0.107	-0.022	-0.311	0.157
4480.000	79107.000	0.119	-0.022	-0.311	0.157
4479.000	79117.000	0.115	-0.022	-0.311	0.157
4478.000	79127.000	0.107	-0.022	-0.311	0.157
4477.000	79137.000	0.105	-0.022	-0.311	0.157
4476.000	79147.000	0.108	-0.022	-0.311	0.157
4475.000	79157.000	0.125	-0.022	-0.311	0.157
4474.000	79167.000	0.123	-0.022	-0.311	0.157
4473.000	79177.000	0.116	-0.022	-0.311	0.157
4472.000	79187.000	0.082	-0.022	-0.311	0.157
4471.000	79197.000	0.088	-0.022	-0.311	0.157
4470.000	79207.000	0.100	-0.022	-0.311	0.157
4469.000	79217.000	0.113	-0.022	-0.311	0.157
4468.000	79227.000	0.099	-0.022	-0.311	0.157
4467.000	79237.000	0.119	-0.022	-0.311	0.157
4466.000	79247.000	0.124	-0.022	-0.311	0.157
4465.000	79257.000	0.124	-0.022	-0.311	0.157
4464.000	79267.000	0.103	-0.022	-0.311	0.157
4463.000	79277.000	0.095	-0.022	-0.311	0.157
4462.000	79287.000	0.095	-0.022	-0.311	0.157
4461.000	79297.000	0.099	-0.022	-0.311	0.157
4460.000	79307.000	0.090	-0.022	-0.311	0.157
4459.000	79317.000	0.124	-0.022	-0.311	0.157
4458.000	79327.000	0.131	-0.022	-0.311	0.157
4457.000	79337.000	0.115	-0.022	-0.311	0.157
4456.000	79347.000	0.111	-0.022	-0.311	0.157
4455.000	79357.000	0.112	-0.022	-0.311	0.157
4454.000	79367.000	0.117	-0.022	-0.311	0.157
4453.000	79377.000	0.109	-0.022	-0.311	0.157
4452.000	79387.000	0.141	-0.022	-0.311	0.157
4451.000	79397.000	0.112	-0.022	-0.311	0.157
4450.000	79407.000	0.088	-0.022	-0.311	0.157
4449.000	79417.000	0.107	-0.022	-0.311	0.157
4448.000	79427.000	0.115	-0.022	-0.311	0.157
