# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
i	d	s	sb	n	nb
6097.000	70906.000	0.168	-0.009	-0.339	0.164
6096.000	70916.000	0.163	-0.009	-0.339	0.164
6095.000	70926.000	0.138	-0.009	-0.339	0.164
6094.000	70936.000	0.127	-0.009	-0.339	0.164
6093.000	70946.000	0.154	-0.009	-0.339	0.164
6092.000	70956.000	0.156	-0.009	-0.339	0.164
6091.000	70966.000	0.181	-0.009	-0.339	0.164
6090.000	70976.000	0.200	-0.009	-0.339	0.164
6089.000	70986.000	0.178	-0.009	-0.339	0.164
6088.000	70996.000	0.193	-0.009	-0.339	0.164
6087.000	71006.000	0.211	-0.009	-0.339	0.164
6086.000	71016.000	0.181	-0.009	-0.339	0.164
6085.000	71026.000	0.148	-0.009	-0.339	0.164
6084.000	71036.000	0.170	-0.009	-0.339	0.164
6083.000	71046.000	0.159	-0.009	-0.339	0.164
6082.000	71056.000	0.176	-0.009	-0.339	0.164
6081.000	71066.000	0.188	-0.009	-0.339	0.164
6080.000	71076.000	0.212	-0.009	-0.339	0.164
6079.000	71086.000	0.176	-0.009	-0.339	0.164
6078.000	71096.000	0.154	-0.009	-0.339	0.164
6077.000	71106.000	0.161	-0.009	-0.339	0.164
6076.000	71116.000	0.143	-0.009	-0.339	0.164
6075.000	71126.000	0.154	-0.009	-0.339	0.164
6074.000	71136.000	0.142	-0.009	-0.339	0.164
6073.000	71146.000	0.152	-0.009	-0.339	0.164
6072.000	71156.000	0.163	-0.009	-0.339	0.164
6071.000	71166.000	0.177	-0.009	-0.339	0.164
6070.000	71176.000	0.176	-0.009	-0.339	0.164
6069.000	71186.000	0.166	-0.009	-0.339	0.164
6068.000	71196.000	0.179	-0.009	-0.339	0.164
6067.000	71206.000	0.185	-0.009	-0.339	0.164
6066.000	71216.000	0.178	-0.009	-0.339	0.164
6065.000	71226.000	0.153	-0.009	-0.339	0.164
6064.000	71236.000	0.149	-0.009	-0.339	0.164
6063.000	71246.000	0.173	-0.009	-0.339	0.164
6062.000	71256.000	0.158	-0.009	-0.339	0.164
6061.000	71266.000	0.168	-0.009	-0.339	0.164
6060.000	71276.000	0.150	-0.009	-0.339	0.164
6059.000	71286.000	0.145	-0.009	-0.339	0.164
6058.000	71296.000	0.173	-0.009	-0.339	0.164
6057.000	71306.000	0.183	-0.009	-0.339	0.164
6056.000	71316.000	0.167	-0.009	-0.339	0.164
6055.000	71326.000	0.194	-0.009	-0.339	0.164
6054.000	71336.000	0.174	-0.009	-0.339	0.164
6053.000	71346.000	0.155	-0.009	-0.339	0.164
6052.000	71356.000	0.155	-0.009	-0.339	0.164
6051.000	71366.000	0.193	-0.009	-0.339	0.164
6050.000	71376.000	0.207	-0.009	-0.339	0.164
6049.000	71386.000	0.214	-0.009	-0.339	0.164
6048.000	71396.000	0.251	-0.009	-0.339	0.164
6047.000	71406.000	0.190	-0.009	-0.339	0.164
6046.000	71416.000	0.188	-0.009	-0.339	0.164
6045.000	71426.000	0.170	-0.009	-0.339	0.164
6044.000	71436.000	0.182	-0.009	-0.339	0.164
6043.000	71446.000	0.210	-0.009	-0.339	0.164
6042.000	71456.000	0.206	-0.009	-0.339	0.164
6041.000	71466.000	0.179	-0.009	-0.339	0.164
6040.000	71476.000	0.175	-0.009	-0.339	0.164
6039.000	71486.000	0.174	-0.009	-0.339	0.164
6038.000	71496.000	0.151	-0.009	-0.339	0.164
6037.000	71506.000	0.159	-0.009	-0.339	0.164
6036.000	71516.000	0.141	-0.009	-0.339	0.164
6035.000	71526.000	0.137	-0.009	-0.339	0.164
6034.000	71536.000	0.156	-0.009	-0.339	0.164
6033.000	71546.000	0.194	-0.009	-0.339	0.164
6032.000	71556.000	0.210	-0.009	-0.339	0.164
6031.000	71566.000	0.245	-0.009	-0.339	0.164
6030.000	71576.000	0.204	-0.009	-0.339	0.164
6029.000	71586.000	0.218	-0.009	-0.339	0.164
6028.000	71596.000	0.161	-0.009	-0.339	0.164
6027.000	71606.000	0.158	-0.009	-0.339	0.164
6026.000	71616.000	0.189	-0.009	-0.339	0.164
6025.000	71626.000	0.204	-0.009	-0.339	0.164
6024.000	71636.000	0.168	-0.009	-0.339	0.164
6023.000	71646.000	0.185	-0.009	-0.339	0.164
6022.000	71656.000	0.218	-0.009	-0.339	0.164
6021.000	71666.000	0.191	-0.009	-0.339	0.164
6020.000	71676.000	0.208	-0.009	-0.339	0.164
6019.000	71686.000	0.186	-0.009	-0.339	0.164
6018.000	71696.000	0.193	-0.009	-0.339	0.164
6017.000	71706.000	0.221	-0.009	-0.339	0.164
6016.000	71716.000	0.174	-0.009	-0.339	0.164
6015.000	71726.000	0.163	-0.009	-0.339	0.164
6014.000	71736.000	0.175	-0.009	-0.339	0.164
6013.000	71746.000	0.161	-0.009	-0.339	0.164
6012.000	71756.000	0.162	-0.009	-0.339	0.164
6011.000	71766.000	0.177	-0.009	-0.339	0.164
6010.000	71776.000	0.191	-0.009	-0.339	0.164
6009.000	71786.000	0.206	-0.009	-0.339	0.164
6008.000	71796.000	0.227	-0.009	-0.339	0.164
6007.000	71806.000	0.220	-0.009	-0.339	0.164
6006.000	71816.000	0.198	-0.009	-0.339	0.164
6005.000	71826.000	0.176	-0.009	-0.339	0.164
6004.000	71836.000	0.166	-0.009	-0.339	0.164
6003.000	71846.000	0.192	-0.009	-0.339	0.164
6002.000	71856.000	0.227	-0.009	-0.339	0.164
6001.000	71866.000	0.237	-0.009	-0.339	0.164
6000.000	71876.000	0.201	-0.009	-0.339	0.164
5999.000	71886.000	0.202	-0.009	-0.339	0.164
5998.000	71896.000	0.155	-0.009	-0.339	0.164
5997.000	71906.000	0.196	-0.009	-0.339	0.164
5996.000	71916.000	0.178	-0.009	-0.339	0.164
5995.000	71926.000	0.156	-0.009	-0.339	0.164
5994.000	71936.000	0.181	-0.009	-0.339	0.164
5993.000	71946.000	0.189	-0.009	-0.339	0.164
5992.000	71956.000	0.212	-0.009	-0.339	0.164
5991.000	71966.000	0.199	-0.009	-0.339	0.164
5990.000	71976.000	0.187	-0.009	-0.339	0.164
5989.000	71986.000	0.192	-0.009	-0.339	0.164
5988.000	71996.000	0.174	-0.009	-0.339	0.164
5987.000	72006.000	0.147	-0.009	-0.339	0.164
5986.000	72016.000	0.160	-0.009	-0.339	0.164
5985.000	72026.000	0.197	-0.009	-0.339	0.164
5984.000	72036.000	0.208	-0.009	-0.339	0.164
5983.000	72046.000	0.205	-0.009	-0.339	0.164
5982.000	72056.000	0.184	-0.009	-0.339	0.164
5981.000	72066.000	0.216	-0.009	-0.339	0.164
5980.000	72076.000	0.237	-0.009	-0.339	0.164
5979.000	72086.000	0.234	-0.009	-0.339	0.164
5978.000	72096.000	0.225	-0.009	-0.339	0.164
5977.000	72106.000	0.204	-0.009	-0.339	0.164
5976.000	72116.000	0.230	-0.009	-0.339	0.164
5975.000	72126.000	0.224	-0.009	-0.339	0.164
5974.000	72136.000	0.214	-0.009	-0.339	0.164
5973.000	72146.000	0.243	-0.009	-0.339	0.164
5972.000	72156.000	0.279	-0.009	-0.339	0.164
5971.000	72166.000	0.263	-0.009	-0.339	0.164
5970.000	72176.000	0.220	-0.009	-0.339	0.164
5969.000	72186.000	0.216	-0.009	-0.339	0.164
5968.000	72196.000	0.200	-0.009	-0.339	0.164
5967.000	72206.000	0.198	-0.009	-0.339	0.164
5966.000	72216.000	0.203	-0.009	-0.339	0.164
5965.000	72226.000	0.200	-0.009	-0.339	0.164
5964.000	72236.000	0.203	-0.009	-0.339	0.164
5963.000	72246.000	0.200	-0.009	-0.339	0.164
5962.000	72256.000	0.211	-0.009	-0.339	0.164
5961.000	72266.000	0.216	-0.009	-0.339	0.164
5960.000	72276.000	0.210	-0.009	-0.339	0.164
5959.000	72286.000	0.237	-0.009	-0.339	0.164
5958.000	72296.000	0.211	-0.009	-0.339	0.164
5957.000	72306.000	0.220	-0.009	-0.339	0.164
5956.000	72316.000	0.217	-0.009	-0.339	0.164
5955.000	72326.000	0.201	-0.009	-0.339	0.164
5954.000	72336.000	0.197	-0.009	-0.339	0.164
5953.000	72346.000	0.205	-0.009	-0.339	0.164
5952.000	72356.000	0.213	-0.009	-0.339	0.164
5951.000	72366.000	0.208	-0.009	-0.339	0.164
5950.000	72376.000	0.212	-0.009	-0.339	0.164
5949.000	72386.000	0.216	-0.009	-0.339	0.164
5948.000	72396.000	0.170	-0.009	-0.339	0.164
5947.000	72406.000	0.150	-0.009	-0.339	0.164
5946.000	72416.000	0.192	-0.009	-0.339	0.164
5945.000	72426.000	0.158	-0.009	-0.339	0.164
5944.000	72436.000	0.181	-0.009	-0.339	0.164
5943.000	72446.000	0.177	-0.009	-0.339	0.164
