# Delay scan
# MW at 19 dB
# Laser at 365854 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# No Static
i	d	s	b
9039.000	57426.000	0.119	-0.036
9038.000	57436.000	0.152	-0.036
9037.000	57446.000	0.133	-0.036
9036.000	57456.000	0.131	-0.036
9035.000	57466.000	0.132	-0.036
9034.000	57476.000	0.146	-0.036
9033.000	57486.000	0.117	-0.036
9032.000	57496.000	0.194	-0.036
9031.000	57506.000	0.133	-0.036
9030.000	57516.000	0.160	-0.036
9029.000	57526.000	0.115	-0.036
9028.000	57536.000	0.146	-0.036
9027.000	57546.000	0.201	-0.036
9026.000	57556.000	0.175	-0.036
9025.000	57566.000	0.130	-0.036
9024.000	57576.000	0.151	-0.036
9023.000	57586.000	0.144	-0.036
9022.000	57596.000	0.129	-0.036
9021.000	57606.000	0.149	-0.036
9020.000	57616.000	0.110	-0.036
9019.000	57626.000	0.113	-0.036
9018.000	57636.000	0.144	-0.036
9017.000	57646.000	0.135	-0.036
9016.000	57656.000	0.139	-0.036
9015.000	57666.000	0.143	-0.036
9014.000	57676.000	0.164	-0.036
9013.000	57686.000	0.129	-0.036
9012.000	57696.000	0.166	-0.036
9011.000	57706.000	0.147	-0.036
9010.000	57716.000	0.192	-0.036
9009.000	57726.000	0.122	-0.036
9008.000	57736.000	0.179	-0.036
9007.000	57746.000	0.139	-0.036
9006.000	57756.000	0.153	-0.036
9005.000	57766.000	0.148	-0.036
9004.000	57776.000	0.114	-0.036
9003.000	57786.000	0.197	-0.036
9002.000	57796.000	0.127	-0.036
9001.000	57806.000	0.123	-0.036
9000.000	57816.000	0.142	-0.036
8999.000	57826.000	0.097	-0.036
8998.000	57836.000	0.158	-0.036
8997.000	57846.000	0.162	-0.036
8996.000	57856.000	0.161	-0.036
8995.000	57866.000	0.165	-0.036
8994.000	57876.000	0.087	-0.036
8993.000	57886.000	0.115	-0.036
8992.000	57896.000	0.142	-0.036
8991.000	57906.000	0.155	-0.036
8990.000	57916.000	0.189	-0.036
8989.000	57926.000	0.135	-0.036
8988.000	57936.000	0.118	-0.036
8987.000	57946.000	0.146	-0.036
8986.000	57956.000	0.122	-0.036
8985.000	57966.000	0.162	-0.036
8984.000	57976.000	0.126	-0.036
8983.000	57986.000	0.149	-0.036
8982.000	57996.000	0.146	-0.036
8981.000	58006.000	0.107	-0.036
8980.000	58016.000	0.167	-0.036
8979.000	58026.000	0.166	-0.036
8978.000	58036.000	0.163	-0.036
8977.000	58046.000	0.159	-0.036
8976.000	58056.000	0.101	-0.036
8975.000	58066.000	0.144	-0.036
8974.000	58076.000	0.134	-0.036
8973.000	58086.000	0.141	-0.036
8972.000	58096.000	0.121	-0.036
8971.000	58106.000	0.126	-0.036
8970.000	58116.000	0.189	-0.036
8969.000	58126.000	0.139	-0.036
8968.000	58136.000	0.120	-0.036
8967.000	58146.000	0.111	-0.036
8966.000	58156.000	0.135	-0.036
8965.000	58166.000	0.150	-0.036
8964.000	58176.000	0.158	-0.036
8963.000	58186.000	0.139	-0.036
8962.000	58196.000	0.104	-0.036
8961.000	58206.000	0.137	-0.036
8960.000	58216.000	0.109	-0.036
8959.000	58226.000	0.108	-0.036
8958.000	58236.000	0.090	-0.036
8957.000	58246.000	0.115	-0.036
8956.000	58256.000	0.141	-0.036
8955.000	58266.000	0.104	-0.036
8954.000	58276.000	0.093	-0.036
8953.000	58286.000	0.112	-0.036
8952.000	58296.000	0.153	-0.036
8951.000	58306.000	0.136	-0.036
8950.000	58316.000	0.187	-0.036
8949.000	58326.000	0.187	-0.036
8948.000	58336.000	0.135	-0.036
8947.000	58346.000	0.149	-0.036
8946.000	58356.000	0.135	-0.036
8945.000	58366.000	0.098	-0.036
8944.000	58376.000	0.123	-0.036
8943.000	58386.000	0.141	-0.036
8942.000	58396.000	0.210	-0.036
8941.000	58406.000	0.132	-0.036
8940.000	58416.000	0.126	-0.036
