# Delay scan
# MW at 19 dB, 18.5140 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
# Norm:	-0.321996
# NB:	
i	d	s	b
5833.000	73546.000	0.220	-0.031
5832.000	73556.000	0.210	-0.031
5831.000	73566.000	0.186	-0.031
5830.000	73576.000	0.180	-0.031
5829.000	73586.000	0.161	-0.031
5828.000	73596.000	0.159	-0.031
5827.000	73606.000	0.173	-0.031
5826.000	73616.000	0.154	-0.031
5825.000	73626.000	0.165	-0.031
5824.000	73636.000	0.171	-0.031
5823.000	73646.000	0.176	-0.031
5822.000	73656.000	0.170	-0.031
5821.000	73666.000	0.190	-0.031
5820.000	73676.000	0.162	-0.031
5819.000	73686.000	0.156	-0.031
5818.000	73696.000	0.162	-0.031
5817.000	73706.000	0.162	-0.031
5816.000	73716.000	0.164	-0.031
5815.000	73726.000	0.190	-0.031
5814.000	73736.000	0.175	-0.031
5813.000	73746.000	0.189	-0.031
5812.000	73756.000	0.184	-0.031
5811.000	73766.000	0.166	-0.031
5810.000	73776.000	0.177	-0.031
5809.000	73786.000	0.158	-0.031
5808.000	73796.000	0.145	-0.031
5807.000	73806.000	0.146	-0.031
5806.000	73816.000	0.177	-0.031
5805.000	73826.000	0.187	-0.031
5804.000	73836.000	0.225	-0.031
5803.000	73846.000	0.179	-0.031
5802.000	73856.000	0.182	-0.031
5801.000	73866.000	0.168	-0.031
5800.000	73876.000	0.161	-0.031
5799.000	73886.000	0.196	-0.031
5798.000	73896.000	0.165	-0.031
5797.000	73906.000	0.164	-0.031
5796.000	73916.000	0.156	-0.031
5795.000	73926.000	0.168	-0.031
5794.000	73936.000	0.180	-0.031
5793.000	73946.000	0.164	-0.031
5792.000	73956.000	0.189	-0.031
5791.000	73966.000	0.166	-0.031
5790.000	73976.000	0.125	-0.031
5789.000	73986.000	0.143	-0.031
5788.000	73996.000	0.159	-0.031
5787.000	74006.000	0.151	-0.031
5786.000	74016.000	0.194	-0.031
5785.000	74026.000	0.197	-0.031
5784.000	74036.000	0.176	-0.031
5783.000	74046.000	0.209	-0.031
5782.000	74056.000	0.160	-0.031
5781.000	74066.000	0.144	-0.031
5780.000	74076.000	0.155	-0.031
5779.000	74086.000	0.136	-0.031
