# Title:	Delay with 18 V static at n=27, 10 dB on MW Attn, AM = 1.4.
# Note:	Delay scan at n=27 with +9 V Bot, -9 V Top applied static field. 10 dB on MW Attn, 31.5 dB on PM Attn, PM = 1.4. Low-frequency Stark state of 3d3/2 -> 27f targeted.
# Type:	Delay
# Hittite Freq:	19635.40 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361361.2 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	31.5 dB
# MW Attn:	10.5 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-90 mV
# Static:	+9 V Bot, -9V Top
# Static Off:	NaN
i	d	n	nb	s	sb
176.000	132833.000	1.000	0.000	0.088	-0.016
177.000	132167.000	1.000	0.000	0.075	-0.016
178.000	131500.000	1.000	0.000	0.077	-0.016
179.000	130833.000	1.000	0.000	0.072	-0.016
180.000	130167.000	1.000	0.000	0.070	-0.016
181.000	129500.000	1.000	0.000	0.076	-0.016
182.000	128833.000	1.000	0.000	0.073	-0.016
183.000	128167.000	1.000	0.000	0.073	-0.016
184.000	127500.000	1.000	0.000	0.065	-0.016
185.000	126833.000	1.000	0.000	0.062	-0.016
186.000	126167.000	1.000	0.000	0.058	-0.016
187.000	125500.000	1.000	0.000	0.053	-0.016
188.000	124833.000	1.000	0.000	0.058	-0.016
189.000	124167.000	1.000	0.000	0.056	-0.016
190.000	123500.000	1.000	0.000	0.067	-0.016
191.000	122833.000	1.000	0.000	0.050	-0.016
192.000	122167.000	1.000	0.000	0.065	-0.016
193.000	121500.000	1.000	0.000	0.052	-0.016
194.000	120833.000	1.000	0.000	0.062	-0.016
195.000	120167.000	1.000	0.000	0.057	-0.016
196.000	119500.000	1.000	0.000	0.070	-0.016
197.000	118833.000	1.000	0.000	0.063	-0.016
198.000	118167.000	1.000	0.000	0.079	-0.016
199.000	117500.000	1.000	0.000	0.086	-0.016
200.000	116833.000	1.000	0.000	0.088	-0.016
201.000	116167.000	1.000	0.000	0.089	-0.016
202.000	115500.000	1.000	0.000	0.091	-0.016
203.000	114833.000	1.000	0.000	0.078	-0.016
204.000	114167.000	1.000	0.000	0.076	-0.016
205.000	113500.000	1.000	0.000	0.068	-0.016
206.000	112833.000	1.000	0.000	0.072	-0.016
207.000	112167.000	1.000	0.000	0.064	-0.016
208.000	111500.000	1.000	0.000	0.059	-0.016
209.000	110833.000	1.000	0.000	0.068	-0.016
210.000	110167.000	1.000	0.000	0.059	-0.016
211.000	109500.000	1.000	0.000	0.056	-0.016
212.000	108833.000	1.000	0.000	0.052	-0.016
213.000	108167.000	1.000	0.000	0.069	-0.016
214.000	107500.000	1.000	0.000	0.052	-0.016
215.000	106833.000	1.000	0.000	0.058	-0.016
216.000	106167.000	1.000	0.000	0.059	-0.016
217.000	105500.000	1.000	0.000	0.047	-0.016
218.000	104833.000	1.000	0.000	0.060	-0.016
219.000	104167.000	1.000	0.000	0.075	-0.016
220.000	103500.000	1.000	0.000	0.079	-0.016
221.000	102833.000	1.000	0.000	0.076	-0.016
222.000	102167.000	1.000	0.000	0.077	-0.016
223.000	101500.000	1.000	0.000	0.079	-0.016
224.000	100833.000	1.000	0.000	0.077	-0.016
225.000	100167.000	1.000	0.000	0.085	-0.016
226.000	99500.000	1.000	0.000	0.090	-0.016
227.000	98833.000	1.000	0.000	0.080	-0.016
228.000	98167.000	1.000	0.000	0.074	-0.016
229.000	97500.000	1.000	0.000	0.067	-0.016
230.000	96833.000	1.000	0.000	0.060	-0.016
231.000	96167.000	1.000	0.000	0.062	-0.016
232.000	95500.000	1.000	0.000	0.061	-0.016
233.000	94833.000	1.000	0.000	0.060	-0.016
234.000	94167.000	1.000	0.000	0.052	-0.016
235.000	93500.000	1.000	0.000	0.053	-0.016
236.000	92833.000	1.000	0.000	0.053	-0.016
237.000	92167.000	1.000	0.000	0.054	-0.016
238.000	91500.000	1.000	0.000	0.064	-0.016
239.000	90833.000	1.000	0.000	0.055	-0.016
240.000	90167.000	1.000	0.000	0.064	-0.016
241.000	89500.000	1.000	0.000	0.058	-0.016
242.000	88833.000	1.000	0.000	0.062	-0.016
243.000	88167.000	1.000	0.000	0.068	-0.016
244.000	87500.000	1.000	0.000	0.076	-0.016
245.000	86833.000	1.000	0.000	0.082	-0.016
