# Delay scan
# PM at 1.4 (35 dB)
# MW at 19 dB, 18.5094 GHzs, 18.6 dBm
# 0 Resonance
# Laser at 365859.0 GHz
# Static at 0 mV
# No Mod:	0.0842561
# No Mod No MW:	0.104052
i	d	n	nb	s	sb
237.000	87003.000	0.460	-0.053	0.097	-0.004
238.000	88075.000	0.460	-0.053	0.086	-0.004
239.000	89146.000	0.460	-0.053	0.069	-0.004
240.000	90218.000	0.460	-0.053	0.069	-0.004
241.000	91290.000	0.460	-0.053	0.052	-0.004
242.000	92362.000	0.460	-0.053	0.065	-0.004
243.000	93434.000	0.460	-0.053	0.082	-0.004
244.000	94506.000	0.460	-0.053	0.090	-0.004
245.000	95578.000	0.460	-0.053	0.085	-0.004
246.000	96650.000	0.460	-0.053	0.070	-0.004
247.000	97722.000	0.460	-0.053	0.075	-0.004
248.000	98794.000	0.460	-0.053	0.072	-0.004
249.000	99866.000	0.460	-0.053	0.057	-0.004
250.000	100938.000	0.460	-0.053	0.077	-0.004
251.000	102010.000	0.460	-0.053	0.088	-0.004
252.000	103082.000	0.460	-0.053	0.084	-0.004
253.000	104154.000	0.460	-0.053	0.085	-0.004
254.000	105226.000	0.460	-0.053	0.088	-0.004
255.000	106298.000	0.460	-0.053	0.048	-0.004
256.000	107370.000	0.460	-0.053	0.061	-0.004
257.000	108442.000	0.460	-0.053	0.064	-0.004
258.000	109514.000	0.460	-0.053	0.072	-0.004
259.000	110586.000	0.460	-0.053	0.091	-0.004
260.000	111657.000	0.460	-0.053	0.087	-0.004
261.000	112729.000	0.460	-0.053	0.085	-0.004
262.000	113801.000	0.460	-0.053	0.075	-0.004
263.000	114873.000	0.460	-0.053	0.063	-0.004
264.000	115945.000	0.460	-0.053	0.063	-0.004
265.000	117017.000	0.460	-0.053	0.080	-0.004
266.000	118089.000	0.460	-0.053	0.099	-0.004
267.000	119161.000	0.460	-0.053	0.095	-0.004
268.000	120233.000	0.460	-0.053	0.088	-0.004
269.000	121305.000	0.460	-0.053	0.066	-0.004
270.000	122377.000	0.460	-0.053	0.069	-0.004
271.000	123449.000	0.460	-0.053	0.068	-0.004
272.000	124521.000	0.460	-0.053	0.077	-0.004
273.000	125593.000	0.460	-0.053	0.079	-0.004
274.000	126665.000	0.460	-0.053	0.092	-0.004
275.000	127737.000	0.460	-0.053	0.090	-0.004
276.000	128809.000	0.460	-0.053	0.077	-0.004
277.000	129881.000	0.460	-0.053	0.079	-0.004
278.000	130953.000	0.460	-0.053	0.061	-0.004
279.000	132025.000	0.460	-0.053	0.075	-0.004
280.000	133097.000	0.460	-0.053	0.078	-0.004
281.000	134168.000	0.460	-0.053	0.077	-0.004
282.000	135240.000	0.460	-0.053	0.078	-0.004
283.000	136312.000	0.460	-0.053	0.086	-0.004
284.000	137384.000	0.460	-0.053	0.070	-0.004
285.000	138456.000	0.460	-0.053	0.062	-0.004
286.000	139528.000	0.460	-0.053	0.064	-0.004
287.000	140600.000	0.460	-0.053	0.076	-0.004
288.000	141672.000	0.460	-0.053	0.084	-0.004
289.000	142744.000	0.460	-0.053	0.089	-0.004
290.000	143816.000	0.460	-0.053	0.080	-0.004
291.000	144888.000	0.460	-0.053	0.070	-0.004
292.000	145960.000	0.460	-0.053	0.049	-0.004
293.000	147032.000	0.460	-0.053	0.060	-0.004
294.000	148104.000	0.460	-0.053	0.064	-0.004
295.000	149176.000	0.460	-0.053	0.083	-0.004
296.000	150248.000	0.460	-0.053	0.113	-0.004
297.000	151320.000	0.460	-0.053	0.088	-0.004
298.000	152392.000	0.460	-0.053	0.070	-0.004
299.000	152660.000	0.460	-0.053	0.072	-0.004
300.000	151588.000	0.460	-0.053	0.079	-0.004
301.000	150516.000	0.460	-0.053	0.093	-0.004
302.000	149444.000	0.460	-0.053	0.085	-0.004
303.000	148372.000	0.460	-0.053	0.073	-0.004
304.000	147300.000	0.460	-0.053	0.066	-0.004
305.000	146228.000	0.460	-0.053	0.059	-0.004
306.000	145156.000	0.460	-0.053	0.081	-0.004
307.000	144084.000	0.460	-0.053	0.073	-0.004
308.000	143012.000	0.460	-0.053	0.090	-0.004
309.000	141940.000	0.460	-0.053	0.088	-0.004
310.000	140868.000	0.460	-0.053	0.086	-0.004
311.000	139796.000	0.460	-0.053	0.072	-0.004
312.000	138724.000	0.460	-0.053	0.068	-0.004
313.000	137652.000	0.460	-0.053	0.053	-0.004
314.000	136580.000	0.460	-0.053	0.078	-0.004
315.000	135508.000	0.460	-0.053	0.085	-0.004
316.000	134436.000	0.460	-0.053	0.077	-0.004
317.000	133365.000	0.460	-0.053	0.084	-0.004
318.000	132293.000	0.460	-0.053	0.071	-0.004
319.000	131221.000	0.460	-0.053	0.066	-0.004
320.000	130149.000	0.460	-0.053	0.067	-0.004
321.000	129077.000	0.460	-0.053	0.066	-0.004
322.000	128005.000	0.460	-0.053	0.078	-0.004
323.000	126933.000	0.460	-0.053	0.087	-0.004
324.000	125861.000	0.460	-0.053	0.076	-0.004
325.000	124789.000	0.460	-0.053	0.066	-0.004
326.000	123717.000	0.460	-0.053	0.068	-0.004
327.000	122645.000	0.460	-0.053	0.065	-0.004
328.000	121573.000	0.460	-0.053	0.059	-0.004
329.000	120501.000	0.460	-0.053	0.069	-0.004
330.000	119429.000	0.460	-0.053	0.080	-0.004
331.000	118357.000	0.460	-0.053	0.081	-0.004
332.000	117285.000	0.460	-0.053	0.075	-0.004
333.000	116213.000	0.460	-0.053	0.066	-0.004
334.000	115141.000	0.460	-0.053	0.066	-0.004
335.000	114069.000	0.460	-0.053	0.048	-0.004
336.000	112997.000	0.460	-0.053	0.072	-0.004
337.000	111925.000	0.460	-0.053	0.082	-0.004
338.000	110854.000	0.460	-0.053	0.080	-0.004
339.000	109782.000	0.460	-0.053	0.080	-0.004
340.000	108710.000	0.460	-0.053	0.072	-0.004
341.000	107638.000	0.460	-0.053	0.074	-0.004
342.000	106566.000	0.460	-0.053	0.058	-0.004
343.000	105494.000	0.460	-0.053	0.069	-0.004
344.000	104422.000	0.460	-0.053	0.062	-0.004
345.000	103350.000	0.460	-0.053	0.073	-0.004
346.000	102278.000	0.460	-0.053	0.083	-0.004
347.000	101206.000	0.460	-0.053	0.072	-0.004
348.000	100134.000	0.460	-0.053	0.058	-0.004
349.000	99062.000	0.460	-0.053	0.052	-0.004
350.000	97990.000	0.460	-0.053	0.067	-0.004
351.000	96918.000	0.460	-0.053	0.070	-0.004
352.000	95846.000	0.460	-0.053	0.075	-0.004
353.000	94774.000	0.460	-0.053	0.073	-0.004
354.000	93702.000	0.460	-0.053	0.080	-0.004
355.000	92630.000	0.460	-0.053	0.057	-0.004
356.000	91558.000	0.460	-0.053	0.044	-0.004
357.000	90486.000	0.460	-0.053	0.052	-0.004
358.000	89414.000	0.460	-0.053	0.060	-0.004
359.000	88343.000	0.460	-0.053	0.075	-0.004
360.000	87271.000	0.460	-0.053	0.080	-0.004
361.000	86199.000	0.460	-0.053	0.083	-0.004
362.000	85127.000	0.460	-0.053	0.070	-0.004
363.000	84055.000	0.460	-0.053	0.066	-0.004
364.000	82983.000	0.460	-0.053	0.063	-0.004
365.000	81911.000	0.460	-0.053	0.062	-0.004
366.000	80839.000	0.460	-0.053	0.063	-0.004
367.000	79767.000	0.460	-0.053	0.076	-0.004
368.000	78695.000	0.460	-0.053	0.079	-0.004
369.000	77623.000	0.460	-0.053	0.064	-0.004
370.000	76551.000	0.460	-0.053	0.057	-0.004
371.000	75479.000	0.460	-0.053	0.047	-0.004
372.000	74407.000	0.460	-0.053	0.054	-0.004
373.000	73335.000	0.460	-0.053	0.057	-0.004
374.000	72263.000	0.460	-0.053	0.065	-0.004
375.000	71191.000	0.460	-0.053	0.073	-0.004
376.000	70119.000	0.460	-0.053	0.083	-0.004
377.000	69047.000	0.460	-0.053	0.081	-0.004
378.000	67975.000	0.460	-0.053	0.059	-0.004
379.000	66903.000	0.460	-0.053	0.053	-0.004
380.000	65832.000	0.460	-0.053	0.070	-0.004
381.000	64760.000	0.460	-0.053	0.071	-0.004
382.000	63688.000	0.460	-0.053	0.067	-0.004
383.000	62616.000	0.460	-0.053	0.083	-0.004
384.000	61544.000	0.460	-0.053	0.063	-0.004
385.000	60472.000	0.460	-0.053	0.061	-0.004
386.000	59400.000	0.460	-0.053	0.061	-0.004
387.000	58328.000	0.460	-0.053	0.060	-0.004
388.000	57256.000	0.460	-0.053	0.077	-0.004
389.000	56184.000	0.460	-0.053	0.068	-0.004
390.000	55112.000	0.460	-0.053	0.082	-0.004
391.000	54040.000	0.460	-0.053	0.067	-0.004
392.000	52968.000	0.460	-0.053	0.081	-0.004
393.000	51896.000	0.460	-0.053	0.052	-0.004
394.000	50824.000	0.460	-0.053	0.055	-0.004
395.000	49752.000	0.460	-0.053	0.053	-0.004
396.000	48680.000	0.460	-0.053	0.076	-0.004
397.000	47608.000	0.460	-0.053	0.074	-0.004
