# Title: Dye Laser Frequency Scan, MW Off, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW Off. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	50 V
# Static Off:	NaN
i	f	n	nb	s	sb
297.000	-4543.620	1.000	0.000	0.048	0.040
298.000	-4543.320	1.000	0.000	0.038	0.040
299.000	-4543.020	1.000	0.000	0.041	0.040
300.000	-4542.520	1.000	0.000	0.043	0.040
301.000	-4542.220	1.000	0.000	0.035	0.040
302.000	-4541.420	1.000	0.000	0.042	0.040
303.000	-4541.220	1.000	0.000	0.033	0.040
304.000	-4540.920	1.000	0.000	0.042	0.040
305.000	-4540.620	1.000	0.000	0.044	0.040
306.000	-4540.220	1.000	0.000	0.035	0.040
307.000	-4539.920	1.000	0.000	0.043	0.040
308.000	-4539.620	1.000	0.000	0.042	0.040
309.000	-4539.220	1.000	0.000	0.037	0.040
310.000	-4538.820	1.000	0.000	0.041	0.040
311.000	-4538.220	1.000	0.000	0.041	0.040
312.000	-4538.020	1.000	0.000	0.034	0.040
313.000	-4537.620	1.000	0.000	0.045	0.040
314.000	-4537.320	1.000	0.000	0.047	0.040
315.000	-4536.920	1.000	0.000	0.052	0.040
316.000	-4536.620	1.000	0.000	0.055	0.040
317.000	-4536.220	1.000	0.000	0.066	0.040
318.000	-4535.720	1.000	0.000	0.074	0.040
319.000	-4535.320	1.000	0.000	0.067	0.040
320.000	-4535.020	1.000	0.000	0.070	0.040
321.000	-4534.720	1.000	0.000	0.074	0.040
322.000	-4534.320	1.000	0.000	0.069	0.040
323.000	-4533.920	1.000	0.000	0.075	0.040
324.000	-4533.620	1.000	0.000	0.086	0.040
325.000	-4533.020	1.000	0.000	0.097	0.040
326.000	-4532.620	1.000	0.000	0.108	0.040
327.000	-4532.120	1.000	0.000	0.149	0.040
328.000	-4532.020	1.000	0.000	0.151	0.040
329.000	-4531.620	1.000	0.000	0.190	0.040
330.000	-4531.320	1.000	0.000	0.215	0.040
331.000	-4530.820	1.000	0.000	0.270	0.040
332.000	-4530.520	1.000	0.000	0.297	0.040
333.000	-4530.120	1.000	0.000	0.355	0.040
334.000	-4529.520	1.000	0.000	0.332	0.040
335.000	-4529.220	1.000	0.000	0.355	0.040
336.000	-4528.920	1.000	0.000	0.316	0.040
337.000	-4528.420	1.000	0.000	0.295	0.040
338.000	-4528.220	1.000	0.000	0.311	0.040
339.000	-4527.920	1.000	0.000	0.292	0.040
340.000	-4527.520	1.000	0.000	0.258	0.040
341.000	-4527.020	1.000	0.000	0.239	0.040
342.000	-4526.720	1.000	0.000	0.179	0.040
343.000	-4526.320	1.000	0.000	0.168	0.040
344.000	-4526.020	1.000	0.000	0.168	0.040
345.000	-4525.620	1.000	0.000	0.140	0.040
346.000	-4525.320	1.000	0.000	0.133	0.040
347.000	-4525.020	1.000	0.000	0.166	0.040
348.000	-4524.820	1.000	0.000	0.188	0.040
349.000	-4524.520	1.000	0.000	0.218	0.040
350.000	-4524.120	1.000	0.000	0.245	0.040
351.000	-4523.520	1.000	0.000	0.248	0.040
352.000	-4523.220	1.000	0.000	0.255	0.040
353.000	-4522.920	1.000	0.000	0.279	0.040
354.000	-4522.720	1.000	0.000	0.334	0.040
355.000	-4522.420	1.000	0.000	0.316	0.040
356.000	-4522.120	1.000	0.000	0.359	0.040
357.000	-4521.820	1.000	0.000	0.312	0.040
358.000	-4521.320	1.000	0.000	0.339	0.040
359.000	-4520.920	1.000	0.000	0.354	0.040
360.000	-4520.620	1.000	0.000	0.331	0.040
361.000	-4520.220	1.000	0.000	0.315	0.040
362.000	-4519.920	1.000	0.000	0.308	0.040
363.000	-4519.620	1.000	0.000	0.295	0.040
364.000	-4519.220	1.000	0.000	0.234	0.040
365.000	-4519.020	1.000	0.000	0.256	0.040
366.000	-4518.620	1.000	0.000	0.250	0.040
367.000	-4518.120	1.000	0.000	0.240	0.040
368.000	-4517.720	1.000	0.000	0.220	0.040
369.000	-4517.320	1.000	0.000	0.210	0.040
370.000	-4517.020	1.000	0.000	0.201	0.040
371.000	-4516.720	1.000	0.000	0.196	0.040
372.000	-4516.220	1.000	0.000	0.178	0.040
373.000	-4516.020	1.000	0.000	0.172	0.040
374.000	-4515.520	1.000	0.000	0.171	0.040
