# Title: Diode Laser Delay Scan, 1.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 1.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	1.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
277.000	129880.000	0.063	0.143	0.138
278.000	130952.000	0.063	0.141	0.136
279.000	132024.000	0.063	0.142	0.145
280.000	133096.000	0.063	0.140	0.142
281.000	134168.000	0.063	0.149	0.134
282.000	135240.000	0.063	0.137	0.140
283.000	136312.000	0.063	0.133	0.145
284.000	137384.000	0.063	0.159	0.141
285.000	138456.000	0.063	0.141	0.146
286.000	139528.000	0.063	0.140	0.146
287.000	140600.000	0.063	0.132	0.130
288.000	141672.000	0.063	0.132	0.138
289.000	142744.000	0.063	0.145	0.131
290.000	143816.000	0.063	0.133	0.128
291.000	144888.000	0.063	0.141	0.122
292.000	145959.000	0.063	0.137	0.136
293.000	147031.000	0.063	0.129	0.142
294.000	148103.000	0.063	0.140	0.148
295.000	149175.000	0.063	0.141	0.139
296.000	150247.000	0.063	0.132	0.143
297.000	151319.000	0.063	0.132	0.144
298.000	152391.000	0.063	0.125	0.138
299.000	152659.000	0.063	0.142	0.142
300.000	151587.000	0.063	0.142	0.136
301.000	150515.000	0.063	0.138	0.142
302.000	149443.000	0.063	0.143	0.138
303.000	148371.000	0.063	0.132	0.141
304.000	147299.000	0.063	0.145	0.136
305.000	146227.000	0.063	0.147	0.148
306.000	145156.000	0.063	0.133	0.143
307.000	144084.000	0.063	0.145	0.125
308.000	143012.000	0.063	0.136	0.143
309.000	141940.000	0.063	0.139	0.138
310.000	140868.000	0.063	0.144	0.139
311.000	139796.000	0.063	0.139	0.142
312.000	138724.000	0.063	0.135	0.132
313.000	137652.000	0.063	0.133	0.138
314.000	136580.000	0.063	0.147	0.143
315.000	135508.000	0.063	0.131	0.134
316.000	134436.000	0.063	0.137	0.141
317.000	133364.000	0.063	0.146	0.136
318.000	132292.000	0.063	0.140	0.137
319.000	131220.000	0.063	0.143	0.133
320.000	130148.000	0.063	0.140	0.136
321.000	129076.000	0.063	0.126	0.130
322.000	128004.000	0.063	0.125	0.141
323.000	126933.000	0.063	0.139	0.139
324.000	125861.000	0.063	0.138	0.137
325.000	124789.000	0.063	0.135	0.129
326.000	123717.000	0.063	0.141	0.140
327.000	122645.000	0.063	0.144	0.141
328.000	121573.000	0.063	0.142	0.139
329.000	120501.000	0.063	0.141	0.133
330.000	119429.000	0.063	0.144	0.139
331.000	118357.000	0.063	0.143	0.149
332.000	117285.000	0.063	0.149	0.142
333.000	116213.000	0.063	0.147	0.136
334.000	115141.000	0.063	0.137	0.150
335.000	114069.000	0.063	0.132	0.137
336.000	112997.000	0.063	0.141	0.136
337.000	111925.000	0.063	0.144	0.140
338.000	110853.000	0.063	0.128	0.147
339.000	109781.000	0.063	0.139	0.134
340.000	108710.000	0.063	0.137	0.145
341.000	107638.000	0.063	0.147	0.141
342.000	106566.000	0.063	0.136	0.133
343.000	105494.000	0.063	0.130	0.131
344.000	104422.000	0.063	0.138	0.135
345.000	103350.000	0.063	0.126	0.131
346.000	102278.000	0.063	0.142	0.143
347.000	101206.000	0.063	0.131	0.133
348.000	100134.000	0.063	0.127	0.135
349.000	99062.000	0.063	0.150	0.142
350.000	97990.000	0.063	0.132	0.133
351.000	96918.000	0.063	0.147	0.140
352.000	95846.000	0.063	0.140	0.129
353.000	94774.000	0.063	0.139	0.138
354.000	93702.000	0.063	0.149	0.151
355.000	92630.000	0.063	0.126	0.144
356.000	91558.000	0.063	0.138	0.127
357.000	90487.000	0.063	0.136	0.151
358.000	89415.000	0.063	0.144	0.145
359.000	88343.000	0.063	0.155	0.143
360.000	87271.000	0.063	0.140	0.133
361.000	86199.000	0.063	0.139	0.143
362.000	85127.000	0.063	0.135	0.136
363.000	84055.000	0.063	0.142	0.153
364.000	82983.000	0.063	0.141	0.136
365.000	81911.000	0.063	0.137	0.138
366.000	80839.000	0.063	0.131	0.145
367.000	79767.000	0.063	0.128	0.143
368.000	78695.000	0.063	0.140	0.139
369.000	77623.000	0.063	0.153	0.140
370.000	76551.000	0.063	0.135	0.142
371.000	75479.000	0.063	0.147	0.135
372.000	74407.000	0.063	0.144	0.148
373.000	73335.000	0.063	0.152	0.146
374.000	72264.000	0.063	0.147	0.146
375.000	71192.000	0.063	0.145	0.148
376.000	70120.000	0.063	0.143	0.134
377.000	69048.000	0.063	0.136	0.148
378.000	67976.000	0.063	0.146	0.154
379.000	66904.000	0.063	0.139	0.149
380.000	65832.000	0.063	0.146	0.138
381.000	64760.000	0.063	0.147	0.154
382.000	63688.000	0.063	0.143	0.132
383.000	62616.000	0.063	0.153	0.147
384.000	61544.000	0.063	0.140	0.133
385.000	60472.000	0.063	0.147	0.141
386.000	59400.000	0.063	0.146	0.144
387.000	58328.000	0.063	0.136	0.150
388.000	57256.000	0.063	0.134	0.154
389.000	56184.000	0.063	0.139	0.146
390.000	55112.000	0.063	0.142	0.144
391.000	54041.000	0.063	0.146	0.145
392.000	52969.000	0.063	0.138	0.152
393.000	51897.000	0.063	0.143	0.153
394.000	50825.000	0.063	0.145	0.138
395.000	49753.000	0.063	0.153	0.150
396.000	48681.000	0.063	0.145	0.145
397.000	47609.000	0.063	0.144	0.144
