# MW Resoncance Scan w/ the Dye laser.
# Hittite at 18510.6 MHz & 18.6 dBm
# MW Attn at 14 dB
i	f	s
189.000	7.074	0.054
190.000	7.431	0.052
191.000	7.788	0.050
192.000	8.144	0.050
193.000	8.501	0.049
194.000	8.858	0.053
195.000	9.215	0.053
196.000	9.572	0.053
197.000	9.929	0.055
198.000	10.285	0.055
199.000	10.642	0.056
200.000	10.999	0.055
201.000	11.356	0.056
202.000	11.713	0.057
203.000	12.069	0.057
204.000	12.426	0.059
205.000	12.783	0.061
206.000	13.140	0.055
207.000	13.497	0.056
208.000	13.853	0.060
209.000	14.210	0.057
210.000	14.567	0.058
211.000	14.924	0.058
212.000	15.281	0.060
213.000	15.637	0.059
214.000	15.994	0.060
215.000	16.351	0.063
216.000	16.708	0.064
217.000	17.065	0.059
218.000	17.422	0.062
219.000	17.778	0.062
220.000	18.135	0.062
221.000	18.492	0.059
222.000	18.849	0.058
223.000	19.206	0.058
224.000	19.562	0.061
225.000	19.919	0.061
226.000	20.276	0.061
227.000	20.633	0.060
228.000	20.990	0.067
229.000	21.346	0.066
230.000	21.703	0.061
231.000	22.060	0.064
232.000	22.417	0.068
233.000	22.774	0.059
234.000	23.130	0.061
235.000	23.487	0.066
236.000	23.844	0.067
237.000	24.201	0.069
238.000	24.558	0.066
239.000	24.915	0.070
240.000	25.271	0.075
241.000	25.628	0.071
242.000	25.985	0.069
243.000	26.342	0.070
244.000	26.699	0.069
245.000	27.055	0.065
246.000	27.412	0.067
247.000	27.769	0.066
248.000	28.126	0.070
249.000	28.483	0.066
250.000	28.839	0.068
251.000	29.196	0.066
252.000	29.553	0.062
253.000	29.910	0.065
254.000	30.267	0.062
255.000	30.624	0.062
256.000	30.980	0.066
257.000	31.337	0.060
258.000	31.694	0.057
259.000	32.051	0.061
260.000	32.408	0.063
261.000	32.764	0.058
262.000	33.121	0.062
263.000	33.478	0.057
264.000	33.835	0.059
265.000	34.192	0.059
266.000	34.548	0.061
267.000	34.905	0.065
268.000	35.262	0.061
269.000	35.619	0.062
270.000	35.976	0.058
271.000	36.332	0.061
272.000	36.689	0.057
273.000	37.046	0.055
274.000	37.403	0.051
275.000	37.760	0.053
276.000	38.117	0.052
277.000	38.473	0.053
278.000	38.830	0.052
279.000	39.187	0.053
280.000	39.544	0.050
281.000	39.901	0.053
282.000	40.257	0.052
283.000	40.614	0.055
284.000	40.971	0.051
285.000	41.328	0.052
286.000	41.685	0.056
287.000	42.041	0.048
288.000	42.398	0.048
289.000	42.755	0.048
290.000	43.112	0.053
291.000	43.469	0.050
292.000	43.826	0.048
293.000	44.182	0.054
294.000	44.539	0.053
295.000	44.896	0.047
296.000	45.253	0.049
297.000	45.610	0.050
298.000	45.966	0.051
299.000	46.323	0.054
300.000	46.680	0.050
0.000	-60.164	0.074
1.000	-59.808	0.070
2.000	-59.452	0.070
3.000	-59.095	0.076
4.000	-58.739	0.074
5.000	-58.383	0.082
6.000	-58.027	0.085
7.000	-57.671	0.085
8.000	-57.315	0.081
9.000	-56.959	0.080
10.000	-56.602	0.083
11.000	-56.246	0.089
12.000	-55.890	0.081
13.000	-55.534	0.081
14.000	-55.178	0.087
15.000	-54.822	0.083
16.000	-54.466	0.081
17.000	-54.109	0.090
18.000	-53.753	0.086
19.000	-53.397	0.082
20.000	-53.041	0.088
21.000	-52.685	0.085
22.000	-52.329	0.090
23.000	-51.972	0.081
24.000	-51.616	0.081
25.000	-51.260	0.082
26.000	-50.904	0.085
27.000	-50.548	0.085
28.000	-50.192	0.090
29.000	-49.836	0.085
30.000	-49.479	0.084
31.000	-49.123	0.084
32.000	-48.767	0.087
33.000	-48.411	0.089
34.000	-48.055	0.088
35.000	-47.699	0.097
36.000	-47.343	0.097
37.000	-46.986	0.091
38.000	-46.630	0.096
39.000	-46.274	0.096
40.000	-45.918	0.093
41.000	-45.562	0.089
42.000	-45.206	0.092
43.000	-44.850	0.091
44.000	-44.493	0.088
45.000	-44.137	0.086
46.000	-43.781	0.082
47.000	-43.425	0.082
48.000	-43.069	0.087
49.000	-42.713	0.083
50.000	-42.357	0.088
51.000	-42.000	0.088
52.000	-41.644	0.079
53.000	-41.288	0.085
54.000	-40.932	0.088
55.000	-40.576	0.087
56.000	-40.220	0.078
57.000	-39.864	0.079
58.000	-39.507	0.078
59.000	-39.151	0.075
60.000	-38.795	0.079
61.000	-38.439	0.074
62.000	-38.083	0.068
63.000	-37.727	0.070
64.000	-37.370	0.071
65.000	-37.014	0.071
66.000	-36.658	0.068
67.000	-36.302	0.066
68.000	-35.946	0.069
69.000	-35.590	0.069
70.000	-35.234	0.065
71.000	-34.877	0.070
72.000	-34.521	0.066
73.000	-34.165	0.064
74.000	-33.809	0.069
75.000	-33.453	0.069
76.000	-33.097	0.068
77.000	-32.741	0.064
78.000	-32.384	0.063
79.000	-32.028	0.064
80.000	-31.672	0.072
81.000	-31.316	0.068
82.000	-30.960	0.067
83.000	-30.604	0.067
84.000	-30.248	0.069
85.000	-29.891	0.069
86.000	-29.535	0.069
87.000	-29.179	0.069
88.000	-28.823	0.070
89.000	-28.467	0.071
90.000	-28.111	0.067
91.000	-27.755	0.068
92.000	-27.398	0.070
93.000	-27.042	0.068
94.000	-26.686	0.068
95.000	-26.330	0.070
96.000	-25.974	0.074
97.000	-25.618	0.066
98.000	-25.262	0.072
99.000	-24.905	0.071
100.000	-24.549	0.075
101.000	-24.193	0.071
102.000	-23.837	0.071
103.000	-23.481	0.074
104.000	-23.125	0.074
105.000	-22.769	0.073
106.000	-22.412	0.072
107.000	-22.056	0.073
108.000	-21.700	0.072
109.000	-21.344	0.077
110.000	-20.988	0.070
111.000	-20.632	0.076
112.000	-20.275	0.072
113.000	-19.919	0.072
114.000	-19.563	0.074
115.000	-19.207	0.072
116.000	-18.851	0.072
117.000	-18.495	0.080
118.000	-18.139	0.074
119.000	-17.782	0.069
120.000	-17.426	0.075
121.000	-17.070	0.080
122.000	-16.714	0.078
123.000	-16.358	0.081
124.000	-16.002	0.077
125.000	-15.646	0.083
126.000	-15.289	0.083
127.000	-14.933	0.079
128.000	-14.577	0.082
129.000	-14.221	0.088
130.000	-13.865	0.079
131.000	-13.509	0.086
132.000	-13.153	0.093
133.000	-12.796	0.081
134.000	-12.440	0.076
135.000	-12.084	0.084
136.000	-11.728	0.080
137.000	-11.372	0.080
138.000	-11.016	0.081
139.000	-10.660	0.085
140.000	-10.303	0.081
141.000	-9.947	0.090
142.000	-9.591	0.085
143.000	-9.235	0.084
144.000	-8.879	0.082
145.000	-8.523	0.084
146.000	-8.167	0.080
147.000	-7.810	0.094
148.000	-7.454	0.084
149.000	-7.098	0.077
150.000	-6.742	0.082
151.000	-6.386	0.078
152.000	-6.030	0.081
153.000	-5.673	0.081
154.000	-5.317	0.082
155.000	-4.961	0.081
156.000	-4.605	0.080
157.000	-4.249	0.076
158.000	-3.893	0.075
159.000	-3.537	0.069
160.000	-3.180	0.071
161.000	-2.824	0.077
162.000	-2.468	0.077
163.000	-2.112	0.074
164.000	-1.756	0.073
165.000	-1.400	0.073
166.000	-1.044	0.070
167.000	-0.687	0.066
168.000	-0.331	0.064
169.000	0.025	0.066
170.000	0.381	0.066
171.000	0.737	0.061
172.000	1.093	0.060
173.000	1.449	0.058
174.000	1.806	0.058
175.000	2.162	0.058
176.000	2.518	0.056
177.000	2.874	0.055
178.000	3.230	0.053
179.000	3.586	0.054
180.000	3.942	0.055
181.000	4.299	0.050
182.000	4.655	0.054
183.000	5.011	0.051
184.000	5.367	0.052
185.000	5.723	0.053
186.000	6.079	0.057
187.000	6.435	0.057
188.000	6.792	0.058
189.000	7.148	0.053
190.000	7.504	0.055
191.000	7.860	0.053
192.000	8.216	0.053
193.000	8.572	0.052
194.000	8.929	0.051
195.000	9.285	0.056
196.000	9.641	0.054
197.000	9.997	0.053
198.000	10.353	0.060
199.000	10.709	0.058
200.000	11.065	0.056
201.000	11.422	0.062
202.000	11.778	0.055
203.000	12.134	0.060
204.000	12.490	0.061
205.000	12.846	0.058
206.000	13.202	0.056
207.000	13.558	0.054
208.000	13.915	0.058
209.000	14.271	0.058
210.000	14.627	0.059
211.000	14.983	0.061
212.000	15.339	0.056
213.000	15.695	0.060
214.000	16.051	0.068
215.000	16.408	0.063
216.000	16.764	0.064
217.000	17.120	0.063
218.000	17.476	0.057
219.000	17.832	0.058
220.000	18.188	0.058
221.000	18.544	0.064
222.000	18.901	0.066
223.000	19.257	0.068
224.000	19.613	0.065
225.000	19.969	0.063
226.000	20.325	0.070
227.000	20.681	0.064
228.000	21.037	0.066
229.000	21.394	0.066
230.000	21.750	0.069
231.000	22.106	0.065
232.000	22.462	0.062
233.000	22.818	0.063
234.000	23.174	0.064
235.000	23.530	0.069
236.000	23.887	0.068
237.000	24.243	0.070
238.000	24.599	0.070
239.000	24.955	0.068
240.000	25.311	0.074
241.000	25.667	0.078
242.000	26.024	0.076
243.000	26.380	0.077
244.000	26.736	0.075
245.000	27.092	0.072
246.000	27.448	0.072
247.000	27.804	0.074
248.000	28.160	0.068
249.000	28.517	0.072
250.000	28.873	0.070
251.000	29.229	0.073
252.000	29.585	0.077
253.000	29.941	0.070
254.000	30.297	0.072
255.000	30.653	0.073
256.000	31.010	0.070
257.000	31.366	0.066
258.000	31.722	0.064
259.000	32.078	0.068
260.000	32.434	0.068
261.000	32.790	0.065
262.000	33.146	0.069
263.000	33.503	0.067
264.000	33.859	0.064
265.000	34.215	0.065
266.000	34.571	0.062
267.000	34.927	0.058
268.000	35.283	0.060
269.000	35.639	0.056
270.000	35.996	0.062
271.000	36.352	0.058
272.000	36.708	0.059
273.000	37.064	0.058
274.000	37.420	0.055
275.000	37.776	0.054
276.000	38.132	0.052
277.000	38.489	0.058
278.000	38.845	0.054
279.000	39.201	0.050
280.000	39.557	0.058
281.000	39.913	0.055
282.000	40.269	0.053
283.000	40.626	0.053
284.000	40.982	0.054
285.000	41.338	0.057
286.000	41.694	0.053
287.000	42.050	0.055
288.000	42.406	0.054
289.000	42.762	0.058
290.000	43.119	0.053
291.000	43.475	0.055
292.000	43.831	0.055
293.000	44.187	0.060
294.000	44.543	0.062
295.000	44.899	0.058
296.000	45.255	0.059
297.000	45.612	0.054
298.000	45.968	0.055
299.000	46.324	0.052
300.000	46.680	0.054
